Tweet,Sarcasm (yes/no)
Because the game really make everything better.,yes
"doctors are so wonderful, said no one ever.",yes
"Had a this movie, best experience ever. Not.",yes
vegetarians have always been great.,no
"Had a the concert, best experience ever. Not.",yes
"Oh great, another scientists. Just what I needed.",yes
"Had a scientists, best experience ever. Not.",yes
athletes are truly inspiring.,no
Had a great time with the workshop.,no
the game have always been great.,no
"Had a vegetarians, best experience ever. Not.",yes
I find scientists to be wonderful.,no
I just love when writers happens.,yes
I genuinely love this movie.,no
"Oh great, another the conference. Just what I needed.",yes
I am always excited for athletes.,no
Nothing better than a the conference moment.,yes
Because this book really make everything better.,yes
"Oh great, another vegetarians. Just what I needed.",yes
I find athletes to be wonderful.,no
the game are truly inspiring.,no
"Everyone loves engineers, right?",yes
Can't wait for more of the workshop.,yes
the conference have always been great.,no
I genuinely love engineers.,no
"Had a the workshop, best experience ever. Not.",yes
Because the game really make everything better.,yes
I am always excited for this movie.,no
the game are truly inspiring.,no
Nothing better than a the meal moment.,yes
scientists are genuinely amazing.,no
"Everyone loves artists, right?",yes
I am always excited for this book.,no
I find engineers to be wonderful.,no
"Had a this movie, best experience ever. Not.",yes
"Everyone loves the conference, right?",yes
Can't wait for more of the meal.,yes
my new phone are genuinely amazing.,no
"Everyone loves the concert, right?",yes
this movie are genuinely amazing.,no
"Everyone loves doctors, right?",yes
I find musicians to be wonderful.,no
I just love when musicians happens.,yes
I am always excited for scientists.,no
"Everyone loves the workshop, right?",yes
I am always excited for musicians.,no
I am always excited for vegetarians.,no
the concert have always been great.,no
the game have always been great.,no
musicians have always been great.,no
I am always excited for scientists.,no
"Everyone loves the concert, right?",yes
"Everyone loves athletes, right?",yes
"Everyone loves the workshop, right?",yes
Can't wait for more of vegetarians.,no
"Oh great, another my new phone. Just what I needed.",yes
I genuinely love vegetarians.,no
vegetarians are truly inspiring.,no
"Oh great, another vegetarians. Just what I needed.",yes
"Had a my new phone, best experience ever. Not.",yes
"Oh great, another writers. Just what I needed.",yes
I am always excited for artists.,no
I just love when the concert happens.,yes
"the concert are so wonderful, said no one ever.",yes
Can't wait for more of this movie.,no
Nothing better than a the conference moment.,yes
"this movie are so wonderful, said no one ever.",yes
I just love when scientists happens.,yes
Nothing better than a the meal moment.,yes
Can't wait for more of the workshop.,no
this book are truly inspiring.,no
I just love when scientists happens.,yes
"Everyone loves musicians, right?",yes
I just love when doctors happens.,yes
I genuinely love the concert.,no
"the concert are so wonderful, said no one ever.",yes
"this book are so wonderful, said no one ever.",yes
Can't wait for more of the conference.,yes
the meal have always been great.,no
engineers are truly inspiring.,no
Can't wait for more of writers.,no
Because vegetarians really make everything better.,yes
this book are truly inspiring.,no
"Oh great, another scientists. Just what I needed.",yes
Because my new phone really make everything better.,yes
"Oh great, another writers. Just what I needed.",yes
Can't wait for more of the conference.,no
Because athletes really make everything better.,yes
Because musicians really make everything better.,yes
I find athletes to be wonderful.,no
the meal are truly inspiring.,no
I find the conference to be wonderful.,no
Can't wait for more of scientists.,no
"Had a doctors, best experience ever. Not.",yes
"Had a the game, best experience ever. Not.",yes
the meal are truly inspiring.,no
I just love when musicians happens.,yes
Can't wait for more of vegetarians.,no
Can't wait for more of this movie.,no
the meal are genuinely amazing.,no
Can't wait for more of vegetarians.,yes
musicians have always been great.,no
I genuinely love the concert.,no
I just love when musicians happens.,yes
"this movie are so wonderful, said no one ever.",yes
Can't wait for more of the workshop.,no
"Everyone loves athletes, right?",yes
I am always excited for the workshop.,no
Can't wait for more of scientists.,yes
"Everyone loves scientists, right?",yes
doctors are truly inspiring.,no
"Everyone loves the concert, right?",yes
"Oh great, another the meal. Just what I needed.",yes
"Had a this movie, best experience ever. Not.",yes
the meal are truly inspiring.,no
Can't wait for more of my new phone.,no
I am always excited for writers.,no
Nothing better than a this movie moment.,yes
doctors are genuinely amazing.,no
Can't wait for more of the meal.,yes
writers are genuinely amazing.,no
I just love when athletes happens.,yes
I am always excited for scientists.,no
Had a great time with athletes.,no
I find my new phone to be wonderful.,no
"Had a the meal, best experience ever. Not.",yes
I just love when the workshop happens.,yes
I just love when the meal happens.,yes
"athletes are so wonderful, said no one ever.",yes
vegetarians are truly inspiring.,no
I just love when scientists happens.,yes
I am always excited for scientists.,no
"Oh great, another the game. Just what I needed.",yes
Had a great time with athletes.,no
Can't wait for more of this movie.,no
artists are genuinely amazing.,no
I genuinely love scientists.,no
"doctors are so wonderful, said no one ever.",yes
"my new phone are so wonderful, said no one ever.",yes
scientists are genuinely amazing.,no
"engineers are so wonderful, said no one ever.",yes
"the conference are so wonderful, said no one ever.",yes
athletes are truly inspiring.,no
I just love when this movie happens.,yes
"Everyone loves my new phone, right?",yes
I just love when musicians happens.,yes
Can't wait for more of the meal.,yes
"artists are so wonderful, said no one ever.",yes
I just love when this book happens.,yes
